player,fbref_id,fbref_url,window,prior_season,pl_season,prior_league,prior_squads,pl_squads,pos,age_pl,prior_minutes,pl_minutes,minutes_ratio,prior_npxg,pl_npxg,prior_xag,pl_xag,prior_npxg_p90,pl_npxg_p90,prior_xag_p90,pl_xag_p90,prior_npxg_xag_p90,ratio_npxg,ratio_xag,diff_npxg,diff_xag,prior_pkatt,pl_pkatt,dest_big6,talent_split,talent_league_n,talent_league_p25,talent_league_p75,meets_900,meets_450,in_primary,prior_pl_minutes,source
Fernando Marçal,9ae9eaea,https://fbref.com/en/players/9ae9eaea/Fernando-Marcal,january,2020-21,2020-21,Ligue 1,Lyon,Wolves,"DF,MF",31.0,78.0,623.0,7.987179487179487,0.0,0.1,0.0,0.1,0.0,0.014446227929373997,0.0,0.014446227929373997,0.0,,,0.014446227929373997,0.014446227929373997,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Ibrahima Diallo,11ff3d56,https://fbref.com/en/players/11ff3d56/Ibrahima-Diallo,january,2020-21,2020-21,Ligue 1,Brest,Southampton,MF,21.0,440.0,1020.0,2.3181818181818183,0.0,0.5,0.3,0.6,0.0,0.04411764705882353,0.06136363636363636,0.052941176470588235,0.06136363636363636,,0.8627450980392157,0.04411764705882353,-0.008422459893048129,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Islam Slimani,ffec9769,https://fbref.com/en/players/ffec9769/Islam-Slimani,january,2020-21,2020-21,Ligue 1,Lyon,Leicester City,FW,32.0,579.0,20.0,0.03454231433506045,3.7,0.1,1.8,0.1,0.5751295336787565,0.45,0.27979274611398963,0.45,0.8549222797927462,0.7824324324324324,1.6083333333333334,-0.1251295336787565,0.17020725388601038,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Jean-Philippe Mateta,50e6dc35,https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta,january,2020-21,2020-21,Bundesliga,Mainz 05,Crystal Palace,FW,23.0,997.0,221.0,0.22166499498495487,7.8,0.3,1.4,0.0,0.7041123370110332,0.12217194570135746,0.1263791374122367,0.0,0.8304914744232699,0.17351200835363728,0.0,-0.5819403913096757,-0.1263791374122367,1.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Joachim Andersen,e34fc66d,https://fbref.com/en/players/e34fc66d/Joachim-Andersen,january,2020-21,2020-21,Ligue 1,Lyon,Fulham,DF,24.0,192.0,2730.0,14.21875,0.3,1.2,0.0,0.4,0.140625,0.03956043956043956,0.0,0.013186813186813187,0.140625,0.2813186813186813,,-0.10106456043956044,0.013186813186813187,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Josh Maja,bc0bfc64,https://fbref.com/en/players/bc0bfc64/Josh-Maja,january,2020-21,2020-21,Ligue 1,Bordeaux,Fulham,FW,21.0,804.0,810.0,1.007462686567164,2.4,3.7,0.4,0.5,0.26865671641791045,0.4111111111111111,0.04477611940298507,0.05555555555555555,0.31343283582089554,1.5302469135802468,1.2407407407407407,0.14245439469320065,0.01077943615257048,0.0,1.0,0,,,,,False,True,0,0.0,fbref_wfr_standard
Kenny Tete,77d7c96f,https://fbref.com/en/players/77d7c96f/Kenny-Tete,january,2020-21,2020-21,Ligue 1,Lyon,Fulham,"DF,MF",24.0,20.0,1481.0,74.05,0.0,0.3,0.0,1.4,0.0,0.01823092505064146,0.0,0.0850776502363268,0.0,,,0.01823092505064146,0.0850776502363268,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Martin Ødegaard,79300479,https://fbref.com/en/players/79300479/Martin-Odegaard,january,2020-21,2020-21,La Liga,Real Madrid,Arsenal,MF,21.0,234.0,866.0,3.700854700854701,0.2,0.7,0.4,2.0,0.07692307692307693,0.07274826789838336,0.15384615384615385,0.20785219399538107,0.23076923076923078,0.9457274826789837,1.3510392609699768,-0.004174809024693568,0.05400604014922722,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Morgan Sanson,6e7f1353,https://fbref.com/en/players/6e7f1353/Morgan-Sanson,january,2020-21,2020-21,Ligue 1,Marseille,Aston Villa,MF,25.0,826.0,294.0,0.3559322033898305,0.9,0.0,2.9,0.1,0.09806295399515738,0.0,0.3159806295399516,0.030612244897959183,0.41404358353510895,0.0,0.09688013136288998,-0.09806295399515738,-0.28536838464199243,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Okay Yokuşlu,e49ce451,https://fbref.com/en/players/e49ce451/Okay-Yokuslu,january,2020-21,2020-21,La Liga,Celta Vigo,West Brom,MF,26.0,462.0,1317.0,2.8506493506493507,0.4,0.9,0.3,0.7,0.07792207792207792,0.06150341685649203,0.05844155844155844,0.04783599088838268,0.13636363636363635,0.7892938496583144,0.8185269552012148,-0.016418661065585892,-0.010605567553175758,0.0,0.0,0,,,,,False,True,0,0.0,fbref_wfr_standard
