num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw2_avg_fdr,gw2_max_fdr,gw3_avg_fdr,gw1_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,BRE-MCI-MUN-SUN-SUN,BRE,MCI,MUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,3+1+1,BRE-MCI-SUN-SUN-SUN,BRE,MCI,SUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
2,3+2,LIV-LIV-MUN-MUN-MUN,LIV,LIV,MUN,MUN,MUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,LIV-LIV-MUN-MUN-SUN,LIV,LIV,MUN,MUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,LIV-LIV-MUN-SUN-SUN,LIV,LIV,MUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
2,3+2,LIV-LIV-SUN-SUN-SUN,LIV,LIV,SUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,3+1+1,LIV-MCI-MUN-MUN-MUN,LIV,MCI,MUN,MUN,MUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
4,2+1+1+1,LIV-MCI-MUN-MUN-SUN,LIV,MCI,MUN,MUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
4,2+1+1+1,LIV-MCI-MUN-SUN-SUN,LIV,MCI,MUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,3+1+1,LIV-MCI-SUN-SUN-SUN,LIV,MCI,SUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
2,3+2,MCI-MCI-MUN-MUN-MUN,MCI,MCI,MUN,MUN,MUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,MCI-MCI-MUN-MUN-SUN,MCI,MCI,MUN,MUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,MCI-MCI-MUN-SUN-SUN,MCI,MCI,MUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
2,3+2,MCI-MCI-SUN-SUN-SUN,MCI,MCI,SUN,SUN,SUN,2.0,2.4,3.0,2.33,2.17,2.2727,-0.2
3,2+2+1,CHE-HUL-HUL-MUN-MUN,CHE,HUL,HUL,MUN,MUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.4544
4,2+1+1+1,CHE-HUL-HUL-MUN-SUN,CHE,HUL,HUL,MUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.4544
3,2+2+1,CHE-HUL-HUL-SUN-SUN,CHE,HUL,HUL,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.4544
3,2+2+1,HUL-HUL-MUN-MUN-TOT,HUL,HUL,MUN,MUN,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.4732
4,2+1+1+1,HUL-HUL-MUN-TOT-SUN,HUL,HUL,MUN,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.4732
3,2+2+1,HUL-HUL-TOT-SUN-SUN,HUL,HUL,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.4732
3,2+2+1,HUL-MUN-MUN-TOT-TOT,HUL,MUN,MUN,TOT,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.5732
4,2+1+1+1,HUL-MUN-TOT-TOT-SUN,HUL,MUN,TOT,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.5732
3,2+2+1,HUL-TOT-TOT-SUN-SUN,HUL,TOT,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.5732
4,2+1+1+1,CHE-HUL-MUN-MUN-TOT,CHE,HUL,MUN,MUN,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.5839
5,1+1+1+1+1,CHE-HUL-MUN-TOT-SUN,CHE,HUL,MUN,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.5839
4,2+1+1+1,CHE-HUL-TOT-SUN-SUN,CHE,HUL,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.5839
3,2+2+1,CHE-CHE-HUL-MUN-MUN,CHE,CHE,HUL,MUN,MUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.6434
4,2+1+1+1,CHE-CHE-HUL-MUN-SUN,CHE,CHE,HUL,MUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.6434
3,2+2+1,CHE-CHE-HUL-SUN-SUN,CHE,CHE,HUL,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.6434
3,2+2+1,COV-COV-MUN-MUN-TOT,COV,COV,MUN,MUN,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
4,2+1+1+1,COV-COV-MUN-TOT-SUN,COV,COV,MUN,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
3,2+2+1,COV-COV-TOT-SUN-SUN,COV,COV,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
3,2+2+1,COV-MUN-MUN-TOT-TOT,COV,MUN,MUN,TOT,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
4,2+1+1+1,COV-MUN-TOT-TOT-SUN,COV,MUN,TOT,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
3,2+2+1,COV-TOT-TOT-SUN-SUN,COV,TOT,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
2,3+2,MUN-MUN-TOT-TOT-TOT,MUN,MUN,TOT,TOT,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
3,3+1+1,MUN-TOT-TOT-TOT-SUN,MUN,TOT,TOT,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
2,3+2,TOT-TOT-TOT-SUN-SUN,TOT,TOT,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7
4,2+1+1+1,CHE-COV-MUN-MUN-TOT,CHE,COV,MUN,MUN,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.7402
5,1+1+1+1+1,CHE-COV-MUN-TOT-SUN,CHE,COV,MUN,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7402
4,2+1+1+1,CHE-COV-TOT-SUN-SUN,CHE,COV,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7402
3,2+2+1,CHE-MUN-MUN-TOT-TOT,CHE,MUN,MUN,TOT,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.7402
4,2+1+1+1,CHE-MUN-TOT-TOT-SUN,CHE,MUN,TOT,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7402
3,2+2+1,CHE-TOT-TOT-SUN-SUN,CHE,TOT,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.7402
3,2+2+1,CHE-CHE-MUN-MUN-TOT,CHE,CHE,MUN,MUN,TOT,2.33,2.0,2.0,3.0,2.67,2.3636,0.8292
4,2+1+1+1,CHE-CHE-MUN-TOT-SUN,CHE,CHE,MUN,TOT,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.8292
3,2+2+1,CHE-CHE-TOT-SUN-SUN,CHE,CHE,TOT,SUN,SUN,2.33,2.0,2.0,3.0,2.67,2.3636,0.8292
3,2+2+1,BRE-HUL-HUL-MUN-MUN,BRE,HUL,HUL,MUN,MUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
4,2+1+1+1,BRE-HUL-HUL-MUN-SUN,BRE,HUL,HUL,MUN,SUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
3,2+2+1,BRE-HUL-HUL-SUN-SUN,BRE,HUL,HUL,SUN,SUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
3,2+2+1,HUL-HUL-LIV-MUN-MUN,HUL,HUL,LIV,MUN,MUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
4,2+1+1+1,HUL-HUL-LIV-MUN-SUN,HUL,HUL,LIV,MUN,SUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
3,2+2+1,HUL-HUL-LIV-SUN-SUN,HUL,HUL,LIV,SUN,SUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
3,2+2+1,HUL-HUL-MCI-MUN-MUN,HUL,HUL,MCI,MUN,MUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
4,2+1+1+1,HUL-HUL-MCI-MUN-SUN,HUL,HUL,MCI,MUN,SUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
3,2+2+1,HUL-HUL-MCI-SUN-SUN,HUL,HUL,MCI,SUN,SUN,2.33,2.2,3.0,2.67,2.5,2.3636,0.0
