player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
412,Lammens,MUN,GKP,Nailed Starter,eligible,5.0,20.2,130.59,2945.0,77.5,3.9908,21.23,465.0,77.5,4.1085,38
309,Núñez,IPS,MID,Regular Starter,eligible,5.0,0.2,130.24,2356.0,62.0,4.9753,20.96,372.0,62.0,5.0712,38
385,Trafford,LEE,GKP,Nailed Starter,eligible,5.0,1.5,130.17,2945.0,77.5,3.978,20.21,465.0,77.5,3.9112,38
529,Roefs,SUN,GKP,Nailed Starter,eligible,5.0,5.4,129.82,2945.0,77.5,3.9674,20.96,465.0,77.5,4.0571,38
116,Dunk,BHA,DEF,Nailed Starter,eligible,4.5,0.7,129.65,2945.0,77.5,3.9621,20.73,465.0,77.5,4.0125,38
260,Wilson,LEE,MID,Nailed Starter,eligible,6.5,8.7,129.53,2945.0,77.5,3.9586,20.24,465.0,77.5,3.9176,38
447,Botman,NEW,DEF,Regular Starter,eligible,5.0,0.4,129.28,2356.0,62.0,4.9387,21.34,372.0,62.0,5.163,38
155,Enzo,CHE,MID,Regular Starter,eligible,7.0,5.4,128.98,2356.0,62.0,4.9269,20.46,372.0,62.0,4.9489,38
82,Kelleher,BRE,GKP,Nailed Starter,eligible,5.0,5.6,128.53,2945.0,77.5,3.928,19.77,465.0,77.5,3.8255,38
544,Xhaka,SUN,MID,Nailed Starter,eligible,5.5,6.2,128.52,2945.0,77.5,3.9277,20.42,465.0,77.5,3.9531,38
350,A.Becker,LIV,GKP,Nailed Starter,eligible,5.5,4.2,128.51,2945.0,77.5,3.9272,20.9,465.0,77.5,4.0445,38
417,Dalot,MUN,DEF,Nailed Starter,eligible,5.0,3.1,128.29,2945.0,77.5,3.9204,21.0,465.0,77.5,4.0652,38
159,Caicedo,CHE,MID,Nailed Starter,eligible,5.5,3.8,128.14,2945.0,77.5,3.9159,20.27,465.0,77.5,3.9233,38
204,Mitchell,CRY,DEF,Nailed Starter,eligible,4.5,7.1,128.02,2945.0,77.5,3.9124,20.28,465.0,77.5,3.9258,38
398,Foden,MCI,MID,Regular Starter,eligible,7.0,7.4,127.08,2356.0,62.0,4.8547,19.99,372.0,62.0,4.8358,38
286,Belloumi,HUL,MID,Regular Starter,eligible,5.0,0.6,126.42,2356.0,62.0,4.8294,19.8,372.0,62.0,4.7899,38
226,Pickford,EVE,GKP,Nailed Starter,eligible,5.5,9.0,125.84,2945.0,77.5,3.8457,20.72,465.0,77.5,4.0107,38
