pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Kelleher (BRE) + Sels (NFO),Kelleher,BRE,5.0,Sels,NFO,5.0,10.0,10.0,48.75,49.0,2.566,2.579,10,52.6,3.75
Henderson (CRY) + Sels (NFO),Henderson,CRY,5.0,Sels,NFO,5.0,10.0,10.0,48.75,51.0,2.566,2.684,9,47.4,3.75
Henderson (CRY) + Lammens (MUN),Henderson,CRY,5.0,Lammens,MUN,5.0,10.0,10.0,49.25,49.0,2.592,2.579,8,42.1,3.25
Petrović (BOU) + Donnarumma (MCI),Petrović,BOU,4.5,Donnarumma,MCI,5.5,10.0,10.0,49.25,51.0,2.592,2.684,9,47.4,4.25
Henderson (CRY) + Roefs (SUN),Henderson,CRY,5.0,Roefs,SUN,5.0,10.0,10.0,49.75,50.0,2.618,2.632,9,47.4,4.25
Horníček (NEW) + Sels (NFO),Horníček,NEW,5.0,Sels,NFO,5.0,10.0,10.0,49.75,50.0,2.618,2.632,8,42.1,3.75
Suzuki (AVL) + Henderson (CRY),Suzuki,AVL,5.0,Henderson,CRY,5.0,10.0,10.0,49.75,51.0,2.618,2.684,8,42.1,3.75
Pickford (EVE) + Scherpen (IPS),Pickford,EVE,5.5,Scherpen,IPS,4.5,10.0,10.0,49.75,51.0,2.618,2.684,9,47.4,3.75
Trafford (LEE) + Lammens (MUN),Trafford,LEE,5.0,Lammens,MUN,5.0,10.0,10.0,49.75,51.0,2.618,2.684,7,36.8,4.25
Lammens (MUN) + Horníček (NEW),Lammens,MUN,5.0,Horníček,NEW,5.0,10.0,10.0,49.75,51.0,2.618,2.684,7,36.8,3.75
Lammens (MUN) + Roefs (SUN),Lammens,MUN,5.0,Roefs,SUN,5.0,10.0,10.0,49.75,51.0,2.618,2.684,8,42.1,4.25
Kelleher (BRE) + Trafford (LEE),Kelleher,BRE,5.0,Trafford,LEE,5.0,10.0,10.0,49.75,52.0,2.618,2.737,8,42.1,4.25
Trafford (LEE) + Horníček (NEW),Trafford,LEE,5.0,Horníček,NEW,5.0,10.0,10.0,49.75,52.0,2.618,2.737,8,42.1,3.75
Kelleher (BRE) + Henderson (CRY),Kelleher,BRE,5.0,Henderson,CRY,5.0,10.0,10.0,50.25,51.0,2.645,2.684,8,42.1,3.75
