num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,BRE-BRE-BHA-CHE-MUN,BRE,BRE,BHA,CHE,MUN,2.59,2.8,2.94,2.37,2.65,2.6261,0.5268
3,2+2+1,BRE-BRE-BHA-CRY-CRY,BRE,BRE,BHA,CRY,CRY,2.51,2.6,3.18,2.43,2.81,2.6738,0.9603
4,2+1+1+1,BRE-BRE-BHA-CRY-IPS,BRE,BRE,BHA,CRY,IPS,2.48,2.6,3.18,2.43,2.81,2.6603,0.8107
4,2+1+1+1,BRE-BRE-BHA-CRY-MUN,BRE,BRE,BHA,CRY,MUN,2.6,2.8,2.94,2.37,2.65,2.6278,0.623
3,2+2+1,BRE-BRE-BHA-IPS-IPS,BRE,BRE,BHA,IPS,IPS,2.45,2.6,3.18,2.5,2.84,2.6644,0.7187
4,2+1+1+1,BRE-BRE-BHA-IPS-MUN,BRE,BRE,BHA,IPS,MUN,2.57,2.8,2.94,2.37,2.65,2.6143,0.4321
3,2+2+1,BRE-BRE-BHA-MUN-MUN,BRE,BRE,BHA,MUN,MUN,2.68,2.8,2.78,2.37,2.58,2.6248,0.4866
3,2+2+1,BRE-BRE-CHE-CHE-CRY,BRE,BRE,CHE,CHE,CRY,2.46,2.6,3.4,2.43,2.92,2.7106,0.8548
3,2+2+1,BRE-BRE-CHE-CHE-IPS,BRE,BRE,CHE,CHE,IPS,2.43,2.6,3.32,2.64,2.98,2.7334,0.7651
3,2+2+1,BRE-BRE-CHE-CHE-MUN,BRE,BRE,CHE,CHE,MUN,2.55,2.8,2.94,2.37,2.65,2.6047,0.4599
3,2+2+1,BRE-BRE-CHE-CRY-CRY,BRE,BRE,CHE,CRY,CRY,2.47,2.6,3.4,2.43,2.92,2.7123,0.9017
4,2+1+1+1,BRE-BRE-CHE-CRY-IPS,BRE,BRE,CHE,CRY,IPS,2.44,2.6,3.32,2.43,2.88,2.677,0.7785
4,2+1+1+1,BRE-BRE-CHE-CRY-MUN,BRE,BRE,CHE,CRY,MUN,2.55,2.8,2.94,2.37,2.65,2.6065,0.5404
3,2+2+1,BRE-BRE-CHE-IPS-IPS,BRE,BRE,CHE,IPS,IPS,2.41,2.6,3.32,2.64,2.98,2.7216,0.7127
4,2+1+1+1,BRE-BRE-CHE-IPS-MUN,BRE,BRE,CHE,IPS,MUN,2.52,2.8,2.94,2.37,2.65,2.5929,0.3759
3,2+2+1,BRE-BRE-CHE-MUN-MUN,BRE,BRE,CHE,MUN,MUN,2.63,2.8,2.78,2.37,2.58,2.6034,0.3801
3,2+2+1,BRE-BRE-CRY-CRY-IPS,BRE,BRE,CRY,CRY,IPS,2.44,2.6,3.32,2.43,2.88,2.6788,0.8119
3,2+2+1,BRE-BRE-CRY-CRY-MUN,BRE,BRE,CRY,CRY,MUN,2.55,2.8,2.94,2.37,2.65,2.6082,0.641
3,2+2+1,BRE-BRE-CRY-IPS-IPS,BRE,BRE,CRY,IPS,IPS,2.41,2.6,3.32,2.43,2.88,2.6652,0.7126
4,2+1+1+1,BRE-BRE-CRY-IPS-MUN,BRE,BRE,CRY,IPS,MUN,2.52,2.8,2.94,2.37,2.65,2.5947,0.4429
3,2+2+1,BRE-BRE-CRY-MUN-MUN,BRE,BRE,CRY,MUN,MUN,2.64,2.8,2.78,2.37,2.58,2.6052,0.5143
