horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Tzolakis (HUL),Martinez,AVL,5.0,Tzolakis,HUL,4.5,9.5,3,23.09,7.7,7.402,78.17,45.42,2.75,33.3,33.3,-0.5,0.5005,1.29
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Tzolakis (HUL),Martinez,AVL,5.0,Tzolakis,HUL,4.5,9.5,16,96.32,6.02,5.725,73.03,65.77,2.75,87.5,37.5,0.3972,0.5192,4.99
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Tzolakis (HUL),Martinez,AVL,5.0,Tzolakis,HUL,4.5,9.5,19,114.61,6.03,5.738,74.69,69.39,2.68,89.5,42.1,0.2504,0.5163,6.12
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Tzolakis (HUL),Martinez,AVL,5.0,Tzolakis,HUL,4.5,9.5,38,228.7,6.02,5.724,75.24,71.34,2.66,89.5,44.7,0.0721,0.5174,11.98
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Horníček (NEW),Martinez,AVL,5.0,Horníček,NEW,5.0,10.0,3,23.05,7.68,7.241,74.33,35.83,3.0,33.3,33.3,0.0,0.5516,1.07
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Horníček (NEW),Martinez,AVL,5.0,Horníček,NEW,5.0,10.0,16,96.32,6.02,5.578,76.89,81.72,2.5,100.0,50.0,-0.1183,0.5162,4.99
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Horníček (NEW),Martinez,AVL,5.0,Horníček,NEW,5.0,10.0,19,114.48,6.03,5.583,76.66,80.94,2.53,100.0,47.4,-0.0957,0.5218,5.91
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Horníček (NEW),Martinez,AVL,5.0,Horníček,NEW,5.0,10.0,38,228.34,6.01,5.567,76.33,80.8,2.53,100.0,47.4,-0.0774,0.5259,11.54
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Rushworth (COV),Verbruggen,BHA,4.5,Rushworth,COV,4.5,9.0,3,23.96,7.99,7.838,76.93,42.33,3.0,33.3,33.3,-0.866,0.5365,1.25
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Rushworth (COV),Verbruggen,BHA,4.5,Rushworth,COV,4.5,9.0,16,96.94,6.06,5.911,80.69,76.96,2.56,93.8,50.0,-0.095,0.4979,5.48
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Verbruggen (BHA) + Rushworth (COV),Verbruggen,BHA,4.5,Rushworth,COV,4.5,9.0,19,115.43,6.08,5.928,82.05,79.64,2.53,94.7,52.6,-0.2736,0.504,6.63
