player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note,price,club_id
474,575458,Jair Cunha,NFO,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.06,0.03,8.65,8.65,0.0,1.3421,2024/25 Brasileirão Santos; 2100m; FBref; dest GC NFO=1.342,4.5,18
532,223827,Ballard,SUN,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2144.0,prior_season_seed,0.1033,0.0264,11.0821,11.0821,0.0,1.4692,Prior-Season Seed 2025/26 (2144m),5.0,20
533,200834,Mukiele,SUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2784.0,prior_season_seed,0.0524,0.0857,8.8254,8.8254,0.0,1.2931,Prior-Season Seed 2025/26 (2784m),5.5,20
534,487676,Hume,SUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3032.0,prior_season_seed,0.0674,0.0609,6.0257,6.0257,0.0,1.2467,Prior-Season Seed 2025/26 (3032m),4.5,20
535,201895,Alderete,SUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,2797.0,prior_season_seed,0.0521,0.0293,10.0393,10.0393,0.0,1.2871,Prior-Season Seed 2025/26 (2797m),5.0,20
536,434399,Reinildo,SUN,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,1966.0,prior_season_seed,0.006,0.0284,7.5076,7.5076,0.0,1.236,Prior-Season Seed 2025/26 (1966m),4.5,20
539,167512,O'Nien,SUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.05,0.06,8.8,8.8,0.0,1.2632,Sunderland Championship / PL; 565m 25/26; FBref CBIT leader proxy; dest GC SUN=1.263,4.0,20
541,93605,Meunier,SUN,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.04,0.08,8.8,8.8,0.0,1.2632,2025/26 Ligue 1 Lille DEF; 1910m; FootyStats; CBIT Tkl+Int+Blk+Clr/90; dest GC SUN=1.263,4.5,20
112,469142,Van Hecke,TOT,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3210.0,prior_season_seed,0.0928,0.044,8.8879,8.8879,0.0,1.2336,Prior-Season Seed 2025/26 (3210m),5.0,19
498,221466,Senesi,TOT,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3288.0,prior_season_seed,0.0419,0.1292,11.469,11.469,0.0,1.4507,Prior-Season Seed 2025/26 (3288m),6.0,19
499,441164,Pedro Porro,TOT,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2793.0,prior_season_seed,0.0338,0.1408,7.0247,7.0247,0.0,1.2889,Prior-Season Seed 2025/26 (2793m),5.5,19
502,122798,Robertson,TOT,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1165.0,prior_season_seed,0.085,0.1082,4.2489,4.2489,0.0,1.2361,Prior-Season Seed 2025/26 (1165m),4.5,19
503,491279,Van de Ven,TOT,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3041.0,prior_season_seed,0.0835,0.0112,6.2743,6.2743,0.0,1.4798,Prior-Season Seed 2025/26 (3041m),5.0,19
