pre_clubs,pre_unique,pre_pattern,pre_sun,gw13_eff_fdr,gw1_avg_fdr,gw23_rot_fdr,pre_corr,n_swaps,out_clubs,in_clubs,post_clubs,post_unique,post_pattern,post_sun,gw419_rot_fdr,gw419_no_diff_pct,gw419_all_easy_pct,post_corr,path_eff_fdr,scenario_eligible,scenario_rank
BRE-CHE-EVE-LEE-MUN,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0055,2,"BRE,MUN","FUL,TOT",CHE-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1443,2.508508,False,
BRE-CHE-EVE-LEE-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.0055,2,"BRE,SUN","FUL,TOT",CHE-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1443,2.508508,False,
CHE-CRY-LEE-MUN-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0055,2,"CRY,MUN","FUL,NFO",CHE-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1838,2.508508,False,
CHE-CRY-LEE-TOT-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,-0.0055,2,"CRY,SUN","FUL,NFO",CHE-FUL-LEE-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,6.2,-0.1838,2.508508,False,
CRY-CRY-LIV-MCI-MUN,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0,2,"CRY,MUN","AVL,NEW",AVL-CRY-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1535,2.508508,False,
CRY-CRY-LIV-MCI-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.0,2,"CRY,SUN","AVL,NEW",AVL-CRY-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1535,2.508508,False,
EVE-EVE-LIV-MUN-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0,2,"EVE,MUN","NEW,NFO",EVE-LIV-NEW-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,25.0,-0.1014,2.508508,False,
EVE-EVE-LIV-TOT-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.0,2,"EVE,SUN","NEW,NFO",EVE-LIV-NEW-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,25.0,-0.1014,2.508508,False,
EVE-EVE-MCI-TOT-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.0,2,"EVE,TOT","CHE,COV",CHE-COV-EVE-MCI-SUN,5,1+1+1+1+1,1,2.4792,100.0,12.5,-0.1133,2.508508,False,
BHA-CHE-EVE-LEE-MUN,5,1+1+1+1+1,0,2.6364,2.8,2.5,0.0176,2,"BHA,MUN","FUL,TOT",CHE-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1443,2.508508,False,
BHA-CHE-EVE-LEE-SUN,5,1+1+1+1+1,1,2.6364,2.8,2.5,0.0176,2,"BHA,SUN","FUL,TOT",CHE-EVE-FUL-LEE-TOT,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1443,2.508508,False,
CHE-CRY-TOT-TOT-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,0.0201,2,"CRY,TOT","BOU,NFO",BOU-CHE-NFO-TOT-SUN,5,1+1+1+1+1,1,2.4792,100.0,12.5,-0.1412,2.508508,False,
